Resolution,StreamBandwidth,EstimatedBandwidth,DecodedFrames,DroppedFrames,PlayTime,PauseTime,Latency,BufferTime,Delay,Throughput,Rtt,Rto
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,0,5545 ms,521 Kbps,34,200
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,1,5545 ms,521 Kbps,38,400
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,1,5545 ms,521 Kbps,38,400
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,2,5545 ms,521 Kbps,38,400
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,3,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,3,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,3,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,4,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,4,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,4,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,4,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,4,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,5,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,5,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,5,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,5,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,5,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,6,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,6,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,6,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,6,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,6,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,7,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,7,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,7,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,7,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,7,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,8,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,9,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,10,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,11,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,12,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,13,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,14,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,15,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,16,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,17,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,18,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,19,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,20,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,21,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,22,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,23,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,23,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,23,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,23,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,24,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,24,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,24,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,24,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,24,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,25,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,25,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,25,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,25,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,25,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,26,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,26,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,26,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,26,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,26,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,27,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,27,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,27,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,27,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,27,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,28,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,28,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,28,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,28,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,28,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,29,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,29,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,29,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,29,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,29,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,30,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,30,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,30,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,30,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,30,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,31,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,31,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,31,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,31,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,31,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,32,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,33,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,34,5545 ms,521 Kbps,38,800
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,35,5545 ms,521 Kbps,38,1600
1280 x 720,2887 Kbps,5957 Kbps,0,0,0,0,5545 ms,36,5545 ms,521 Kbps,38,1600
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,37,5545 ms,521 Kbps,38,1600
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,38,5545 ms,521 Kbps,86,436
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,38,5545 ms,521 Kbps,86,436
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,39,5545 ms,521 Kbps,86,436
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,39,5545 ms,521 Kbps,86,873
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,39,5545 ms,521 Kbps,86,873
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,40,5545 ms,521 Kbps,86,873
1280 x 720,2887 Kbps,5957 Kbps,4,0,0,0,5545 ms,41,5545 ms,521 Kbps,86,873
426 x 240,591 Kbps,332 Kbps,4,0,0,0,5545 ms,42,5545 ms,107 Kbps,86,873
426 x 240,591 Kbps,332 Kbps,4,0,0,0,5545 ms,43,5545 ms,107 Kbps,86,873
